module_name,class_name,method_name,startLine,CBM,m_FAN_IN,m_FAN_OUT,IDMC,EDMC,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,m_variablesQty,parametersQty,m_modifier
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ByteToken,org.argouml.uml.reveng.classfile.ByteToken.ByteToken,53,0,0,0,0,0,False,0,1,1,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ByteToken,org.argouml.uml.reveng.classfile.ByteToken.setValue,69,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ByteToken,org.argouml.uml.reveng.classfile.ByteToken.getValue,78,1,1,0,1,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ByteToken,org.argouml.uml.reveng.classfile.ByteToken.getShortValue,87,1,1,0,1,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ByteToken,org.argouml.uml.reveng.classfile.ByteToken.getIntValue,96,1,1,0,1,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.getInstance,74,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.parseFile,336,4,0,4,2,2,False,0,5,0,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.startImport,99,2,0,2,0,2,False,0,6,4,0,7
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.countFiles,147,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.countDirectory,174,1,0,1,0,1,False,0,2,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.count2ndPassFiles,192,0,0,0,0,0,False,0,0,0,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.processFile,208,0,0,0,0,0,False,0,3,3,0,1
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.processDirectory,241,1,0,1,0,1,False,0,2,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.processJarFile,259,0,0,0,0,0,False,0,1,1,0,5
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.do2ndJarPass,299,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.do2ndFilePass,320,0,0,0,0,0,False,0,1,1,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.needsSave,378,1,0,1,0,1,False,0,1,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.getModuleDescription,393,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.getModuleKey,402,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.initializeModule,409,0,0,0,0,1,True,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.getModuleName,420,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileImport,org.argouml.uml.reveng.classfile.ClassfileImport.getSuffixFilters,429,0,0,0,0,1,True,0,0,0,0,1
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.getConstant,105,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_string_info,780,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.convertDescriptor,116,0,0,0,0,0,False,0,0,0,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.localVariableTable_attribute,1457,0,0,0,0,0,False,0,2,2,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_integer_info,797,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.convertMethodDescriptor,151,0,0,0,0,0,False,0,0,0,0,9
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_float_info,814,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.sourcefile_attribute,1489,0,0,0,0,0,False,0,2,2,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_long_info,831,0,0,0,0,0,False,0,2,2,0,5
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.exception_table_entry,1509,0,0,0,0,0,False,0,4,4,0,6
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.u1,674,1,0,1,1,0,False,0,1,0,0,5
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.ClassfileParser,247,0,0,0,0,0,False,0,0,0,0,0
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_double_info,849,0,0,0,0,0,False,0,2,2,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.exception_index_entry,1533,1,0,1,1,0,False,0,4,3,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_name_and_type_info,868,0,0,0,0,0,False,0,2,2,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.code_attribute,1289,0,0,0,0,0,False,0,8,8,0,12
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.lineNumberTableEntry,1557,0,0,0,0,0,False,0,2,2,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_utf8_info,889,0,0,0,0,0,False,0,2,2,0,7
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.classfile,252,1,1,0,1,0,False,0,7,7,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.localVariableTableEntry,1572,0,0,0,0,0,False,0,5,5,0,7
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.magic_number,280,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.access_modifiers,934,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.version_number,299,0,0,0,0,0,False,0,2,2,0,5
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.exceptions_attribute,1387,0,0,0,0,0,False,0,2,2,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.class_info,951,1,0,1,1,0,False,0,5,4,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.mk_tokenSet_0,1631,0,0,0,0,0,False,0,0,0,0,1
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_pool,317,0,0,0,0,0,False,0,4,4,0,5
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.constant_class_info,691,0,0,0,0,0,False,0,1,1,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.superclass_info,972,1,0,1,1,0,False,0,4,3,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.type_definition,353,1,0,1,1,0,False,0,5,4,0,6
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.interface_block,992,0,0,0,0,0,False,0,2,2,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.interface_info,1021,1,0,1,1,0,False,0,4,3,0,4
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.field_block,386,0,0,0,0,0,False,0,2,2,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.field_info,1041,0,0,0,0,0,False,0,8,8,0,9
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.method_block,415,0,0,0,0,0,False,0,2,2,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.attribute_block,444,0,0,0,0,0,False,0,2,2,0,3
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.u4,473,1,0,1,1,0,False,0,4,0,0,11
org.argouml.uml.reveng.classfile,org.argouml.uml.reveng.classfile.ClassfileParser,org.argouml.uml.reveng.classfile.ClassfileParser.attribute_info,1092,0,0,0,0,0,False,0,11,11,0,14
